
| Lfd.| Stueck-|      Benennung           |  Sachnummer     |  Bemerkungen
| Nr. |  zahl  |                          |                 |   
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
| 200 |    1   | FKS DL  008 (D108)       |                 | D1
| 201 |    5   | FKS DL  000 (D100)       |                 | D2,D7,D16,D17,
|     |        |                          |                 | D20
| 202 |    1   | FKS DL  004 (D104)       |                 | D3
| 203 |    1   | FKS DL  003 (D103)       |                 | D5
| 204 |    1   | FKS DL  020 (D120)       |                 | D4
| 205 |    1   | FKS DL  030 (D130)       |                 | D6
| 206 |    1   | FKS D   100              |                 | D21
| 207 |    1   | FKS D   103              |                 | D22
| 208 |    1   | FKS D   110              |                 | D18
| 209 |    1   | FKS DL  123              |                 | D19
| 210 |    1   | FKS DS 8286              |                 | D8
| 211 |    2   | FKS U   855              |                 | D9,D10
| 212 |    1   | FKS B   555              |                 | D11
| 213 |    4   | FKS V  4029              |                 | D12,D13,D14,
|     |        |                          |                 | D15
| 214 |    1   | DIL-Relais               |RGK13/1-01/005/01| K1
| 215 |    7   | Transistor    SD 336     |                 | VT1-3,VT5,VT6,
|     |        |                          |                 | VT8,VT16
| 216 |    2   | Transistor    SD 335     |                 | VT4,VT7
| 217 |    1   | Transistor    SD 339 A   |                 | VT31
| 218 |    1   | Transistor    SC 237 D   |                 | VT32
| 219 |   11   | Transistor    SS 200     |                 | VT9-12,VT15,
|     |        |                          |                 | VT17-21,VT40,   
| 220 |    2   | Transistor    SF 118     |                 | VT13,VT14 
| 221 |    8   | Diode         SY 345/1   |                 | VD1,VD2,VD4-7,
|     |        |                          |                 | VD9,VD10 
| 222 |    2   | Diode         SAY 12     |                 | VD8,VD13
| 223 |    1   | Z-Diode       SZX 21/5,1 |                 | VD3
| 224 |    1   | Z-Diode       SZX 21/22  |                 | VD11
| 225 |    1   | Z-Diode       SZX 21/20  |                 | VD21
| 226 |    1   | Diode         SY 360/1   |                 | VD22
| 227 |    2   | LED           VQA 13/1   |                 | VD12,VD30
| 228 |    5   | DIL-Schalter oder ent-   |KSD13010.31(.32, | KF1
|     |        | sprechende Kombinationen |            .34) | 
|     |        | oder Wickelbruecken      |                 |
| 229 |    1   | Schaltkreisfassung(Tesla)|TX 7855281 oder  | KD1
|     |        |                          |TX 7855401       |
|     |        | oder 28-pol. (Textool)   |                 |
| 230 |    1   | Schichtwiderstand 10 Ohm |25.207 TGL 8728  | R45
| 231 |    1   |     ~  "  ~       56 Ohm |     ~  "  ~     | R44
| 232 |    1   |     ~  "  ~      100 Ohm |     ~  "  ~     | R64
| 233 |    1   |     ~  "  ~      240 Ohm |     ~  "  ~     | R72
| 234 |    1   |     ~  "  ~      300 Ohm |     ~  "  ~     | R37
| 235 |    2   |     ~  "  ~      390 Ohm |     ~  "  ~     | R38,R39
| 236 |    1   |     ~  "  ~      470 Ohm |     ~  "  ~     | R7
